pos_x,pos_y,rotation,side,designator,mpn,pack,value,mount_type,place
156.0,-68.999999,90.0,top,H1,,MountingHole_2.2mm_M2_DIN965_Pad,MountingHole_Pad,tht,True
196.0,-68.999999,90.0,top,H2,,MountingHole_2.2mm_M2_DIN965_Pad,MountingHole_Pad,tht,True
156.0,-73.999999,90.0,top,H3,,MountingHole_2.2mm_M2_DIN965_Pad,MountingHole_Pad,tht,True
196.0,-73.999999,90.0,top,H4,,MountingHole_2.2mm_M2_DIN965_Pad,MountingHole_Pad,tht,True
156.0,-78.999999,90.0,top,H5,,MountingHole_2.2mm_M2_DIN965_Pad,MountingHole_Pad,tht,True
196.0,-78.999999,90.0,top,H6,,MountingHole_2.2mm_M2_DIN965_Pad,MountingHole_Pad,tht,True
166.0,-61.999999,0.0,top,J1,,CONN3_T4043014031-000_TEC,Conn_01x03_Socket_P123,tht,True
186.0,-61.999999,0.0,top,J2,,CONN3_T4043014031-000_TEC,Conn_01x03_Socket_P123,tht,True
166.0,-85.999999,0.0,top,J3,,CONN3_T4043014031-000_TEC,Conn_01x03_Socket_P123,tht,True
186.0,-85.999999,0.0,top,J4,,CONN3_T4043014031-000_TEC,Conn_01x03_Socket_P123,tht,True
